"Variable","Source_component","Source_variable","Role","Transformation_or_definition","Cycle_availability"
"MCOP_ln","Derived from URXCOP and URXUCR","URXCOP; URXUCR","Exposure","ln(URXCOP/URXUCR*1000)","2005–2018"
"MEP_cr","Derived from MEP_ln","MEP_ln","Grouped intermediate","exp(MEP_ln)","2003–2018"
"MBP_cr","Derived from MBP_ln","MBP_ln","Grouped intermediate","exp(MBP_ln)","2003–2018"
"MiBP_cr","Derived from MiBP_ln","MiBP_ln","Grouped intermediate","exp(MiBP_ln)","2003–2018"
"MBzP_cr","Derived from MBzP_ln","MBzP_ln","Grouped intermediate","exp(MBzP_ln)","2003–2018"
"MEHHP_cr","Derived from MEHHP_ln","MEHHP_ln","Grouped intermediate","exp(MEHHP_ln)","2003–2018"
"MEOHP_cr","Derived from MEOHP_ln","MEOHP_ln","Grouped intermediate","exp(MEOHP_ln)","2003–2018"
"MECPP_cr","Derived from MECPP_ln","MECPP_ln","Grouped intermediate","exp(MECPP_ln)","2003–2018"
"MCPP_cr","Derived from MCPP_ln","MCPP_ln","Grouped intermediate","exp(MCPP_ln)","2003–2018"
"MCNP_cr","Derived from MCNP_ln","MCNP_ln","Grouped intermediate","exp(MCNP_ln)","2005–2018"
"MCOP_cr","Derived from MCOP_ln","MCOP_ln","Grouped intermediate","exp(MCOP_ln)","2005–2018"
"sigma_LMW","Derived grouped index","MEP_cr; MBP_cr; MiBP_cr","Grouped exposure","Molar sum using fixed molecular weights","2003–2018"
"sigma_HMW","Derived grouped index","MBzP_cr; MEHHP_cr; MEOHP_cr; MECPP_cr; MCNP_cr; MCOP_cr; MCPP_cr","Grouped exposure","Molar sum using fixed molecular weights","2005–2018"
"sigma_DEHP","Derived grouped index","MEHHP_cr; MEOHP_cr; MECPP_cr","Grouped exposure","Molar sum using fixed molecular weights","2003–2018"
"ln_sigma_LMW","Derived from sigma_LMW","sigma_LMW","Grouped model exposure","Natural log","2003–2018"
"ln_sigma_HMW","Derived from sigma_HMW","sigma_HMW","Grouped model exposure","Natural log","2005–2018"
"ln_sigma_DEHP","Derived from sigma_DEHP","sigma_DEHP","Grouped model exposure","Natural log","2003–2018"
