"Cycle","Component","Source_SHA","Source_bytes","Rows","Columns","Workspace_RDS"
"2007_2008","DIQ_E","FB4D698FBEC26BC8A09B2CD0F3019F815114742DD2C37CCAC1AAF5E0123394C5",2789600,9666,36,"2007_2008/DIQ_E.rds"
"2007_2008","SMQ_E","881865EE05F4B2BE0C03C761F00AD8E355F2CC5E7D3BE41666EDEF6F3DCA5862",2449520,7145,37,"2007_2008/SMQ_E.rds"
"2007_2008","ALQ_E","3FCA970AC6ED096119D47962F3C72157DDE7C11B13A499380E9A1BBB33123789",412960,5707,9,"2007_2008/ALQ_E.rds"
"2007_2008","BMX_E","B67B50DBD12C9510B49B6348B595B9FD073C422C0C6EAC182F90AC57B491A97D",1800240,9762,23,"2007_2008/BMX_E.rds"
"2007_2008","PHTHTE_E","1CD285C7023329F425D59934FB490E4EF10B624C10AF769321832A474A7E5DDC",722960,2718,33,"2007_2008/PHTHTE_E.rds"
"2009_2010","DEMO_F","78C4D4A6E5EAFA9DA3BBB24A90D140FEF5D8C0CDA932A7FF8EE609288D4FAE07",3631600,10537,43,"2009_2010/DEMO_F.rds"
"2009_2010","MCQ_F","C2F0F9223C6A9E38E5BF6D26501C4B11D3CFD97B82DB46E1C9C266F24761C457",6562720,10109,81,"2009_2010/MCQ_F.rds"
"2009_2010","BPQ_F","E592C987F07002EB309A63DC7EBF6A7EAA83D740A4FD6AE69AF15DA40C65A21A",1161040,6889,21,"2009_2010/BPQ_F.rds"
"2009_2010","DIQ_F","7E90371CBC98E77A9684EFF32FFA0E4EE3E8FC04D97581A8773E19CB9FE901FA",1620960,10109,20,"2009_2010/DIQ_F.rds"
"2009_2010","SMQ_F","EE85C82EA55046EB7BF491088B5BB9EFECBEA8AAF66AE8C89123BAD23A5F1901",2580560,7528,37,"2009_2010/SMQ_F.rds"
"2009_2010","ALQ_F","15A46B2310D5BA90E1488DF5F84846D97468247B0AAE6608407FA9BF2405D0D1",438320,6059,9,"2009_2010/ALQ_F.rds"
"2009_2010","BMX_F","1FA42E07764037674C3F56E1E76F990E10C32245897597DE3D731C57B91D869A",1890560,10253,23,"2009_2010/BMX_F.rds"
"2009_2010","PHTHTE_F","AEAAE6409C168258D888BEA3010E14A84DAD9B5A519AC7CF2F40DF1F4EA5AEA0",749600,2819,33,"2009_2010/PHTHTE_F.rds"
"2011_2012","DEMO_G","EAF0525D1952626885AF3E935415A1F66AD62C18698080E7354789C125AF252D",3753760,9756,48,"2011_2012/DEMO_G.rds"
"2011_2012","MCQ_G","7538EB86C72B81FD5E76B56120FCB068ED38149D44650E9E750670AD58658D52",6905520,9364,92,"2011_2012/MCQ_G.rds"
"2011_2012","BPQ_G","39C5A0EE1D76E6F3DF867C0057986A21F4A028038002C43214C5AF8BDEC83CAE",743920,6175,15,"2011_2012/BPQ_G.rds"
"2011_2012","DIQ_G","A9D5475E0CD66D6A7BC30230345ED0172A9ABCBC0A7A4145A35025C827A52A87",3978560,9364,53,"2011_2012/DIQ_G.rds"
"2011_2012","SMQ_G","69F2375F036A815082B1E97110E79C505B91E0985C61696F8EAACF94828115DC",1946960,6790,30,"2011_2012/SMQ_G.rds"
"2011_2012","ALQ_G","5F06BA3506F9D69CEDFFA0380AD0CECBC15DF2D6D9B7A3644AC3E2678AAAC5E5",451360,5615,10,"2011_2012/ALQ_G.rds"
"2011_2012","BMX_G","4814BFC3047ED400B9D43D285F8C3EA7C940AC6489404A9B699579715D158EC3",1946720,9338,26,"2011_2012/BMX_G.rds"
"2011_2012","PHTHTE_G","D858D116A6249848F912B1D7D96430DE58BB73FAFAC64C1FB03DAC673E021EC2",648480,2594,31,"2011_2012/PHTHTE_G.rds"
"2013_2014","DEMO_H","F8F0CBB3085A323D4CDE22349B164878FEA1E64DBC404E65B5815C7816B547D7",3833200,10175,47,"2013_2014/DEMO_H.rds"
"2013_2014","MCQ_H","5C83210E6E1FE929282621322ED0F94D95CDB0A37CCAFF36F703AB0B2E7B9DC6",7439280,9770,95,"2013_2014/MCQ_H.rds"
"2013_2014","BPQ_H","AA6DDEAB80C73B074CCFD04AD010DA404ECB91C048476A194594CE9552D03D49",726720,6464,14,"2013_2014/BPQ_H.rds"
"2013_2014","DIQ_H","C74C7CCEF65E6997DFAC1DB1E73BC3F63DEC67C70B2E322FFC14F14CE27429A9",4228960,9770,54,"2013_2014/DIQ_H.rds"
"2013_2014","SMQ_H","86D74BB8842CE6D60350944417CBD3E9EE39DD5A9FA1BDA33426F276B673861F",2170000,7168,32,"2013_2014/SMQ_H.rds"
"2013_2014","ALQ_H","174E4DD21E05F81DF8BC786A6E76253A2CDC07503CD7CDE4C7DD1C1B9D3E3098",476080,5924,10,"2013_2014/ALQ_H.rds"
"2013_2014","BMX_H","FD5E9FC6E6AAB0A4AEE6E699F51497BBC9B62101F7F43AEE924C473E38FD9442",2045520,9813,26,"2013_2014/BMX_H.rds"
"2013_2014","PHTHTE_H","248209BD9171597729674E285F11E8BA0BE056F03C49C727491372450B5694DE",649120,2777,29,"2013_2014/PHTHTE_H.rds"
"2015_2016","DEMO_I","C9297C6C37AE8F78F29BE9568FA2A03CF3B112616A39AFEE04030FC775A66A0D",3756480,9971,47,"2015_2016/DEMO_I.rds"
"2015_2016","MCQ_I","8B2BD62F5BCD5820D6AAC380E4BAD233D22ECAB42FCF4A3A9A023FFC6B9F4002",6907360,9575,90,"2015_2016/MCQ_I.rds"
"2015_2016","BPQ_I","7F7E51CD0497EB648F64EAAFAF7ED07825D617C32B2CD6853ED249FCE1143A38",559120,6327,11,"2015_2016/BPQ_I.rds"
"2015_2016","DIQ_I","E87587479B29F175B63EEE5DD40D582837E3E3FE2665503012085EEFDB978E0D",4144720,9575,54,"2015_2016/DIQ_I.rds"
"2015_2016","SMQ_I","529CE1C407E99DCE937CA75D14C8C630E0C9C30A4A9A851760CD2884BBB28FE0",2681040,7001,42,"2015_2016/SMQ_I.rds"
"2015_2016","ALQ_I","ED445C40EC3F3F993F78321F86E513340D4F131708C7624D88803BDE3909102D",460960,5735,10,"2015_2016/ALQ_I.rds"
"2015_2016","BMX_I","D31DA84E14212B4E58E8340598A5B8E2144FAC83333563E966EB1B332E4141D6",1989600,9544,26,"2015_2016/BMX_I.rds"
"2015_2016","PHTHTE_I","9934F4BEFB8519DACEB36358A10A6052B24B3452D85E55A47524544054F987E4",877280,3205,34,"2015_2016/PHTHTE_I.rds"
"2015_2016","ALB_CR_I","AF61C16DB8D9E96549BF0FB446049FF0631AE1CCF7E2DCD017D28EDBA84DBE3D",552800,8608,8,"2015_2016/ALB_CR_I.rds"
"2017_2018","DEMO_J","C0B46E0345EA19404928656277C8B0D10B0CCA348A9B2FE4FC3C67E8B7EE73EC",3412720,9254,46,"2017_2018/DEMO_J.rds"
"2017_2018","MCQ_J","79C50C805A377FCD61D44FAE8B86A16AF0A5741F8B1AEEBDA918D7D743C68F98",5420800,8897,76,"2017_2018/MCQ_J.rds"
"2017_2018","BPQ_J","63CFE1C331A1E7D3534328AC86312A21FFEE3E01AA189BC1F74D06855239E5AA",544560,6161,11,"2017_2018/BPQ_J.rds"
"2017_2018","DIQ_J","1ECBF5360DFC331D1EFBF32198553DC30E9A1F4CFF0A907ED30CA72BAC797F89",3851840,8897,54,"2017_2018/DIQ_J.rds"
"2017_2018","SMQ_J","73C3708E540CBF520A566508AA629C3E4BA53CAD77DAE9388CA36384646455F4",2305600,6724,37,"2017_2018/SMQ_J.rds"
"2017_2018","ALQ_J","53006D407764AD16491F823D25F2781BA55363AEE9CB304D3F5D9450CF25D5C1",444800,5533,10,"2017_2018/ALQ_J.rds"
"2017_2018","BMX_J","8D675E42D8826AC98714B2C3DD4C5138A5E353FB4424F7EFF5E6DB4A01CE838A",1466000,8704,21,"2017_2018/BMX_J.rds"
"2017_2018","PHTHTE_J","89E55B4459086E41E815228B18C144A8046BF9E2391137C3602CCE92DFD3B67D",961840,2986,40,"2017_2018/PHTHTE_J.rds"
"2017_2018","ALB_CR_J","0017A7B8D87D29009923E22300B4EC393B06C9BBF6147EB6B2D777ACA605BCBF",509760,7936,8,"2017_2018/ALB_CR_J.rds"
